scenario,width,repeat,cache,readyMs,fcpMs,lcpObservedMs,longTasks,longTaskMs,tbtProxyMs,apiRequests,liveRequests,listRequests,listEncodedBytes,listDecodedBytes,jsTransferBytes,cssTransferBytes,domNodes,overflow,finalCards,finalRows,pendingRequests
long,390,1,cold,2296,1704,2040,1,146,96,6,1,3,14571,503583,222906,14606,883,false,72,48,0
long,390,1,warm,819,272,556,0,0,0,6,1,3,14571,503583,0,0,883,false,72,48,0
long,390,2,cold,2312,1704,2036,1,144,94,6,1,3,14571,503583,222906,14606,883,false,72,48,0
long,390,2,warm,821,256,544,0,0,0,6,1,3,14571,503583,0,0,883,false,72,48,0
long,390,3,cold,2268,1716,2000,1,148,98,6,1,3,14571,503583,222906,14606,883,false,72,48,0
long,390,3,warm,803,256,532,0,0,0,6,1,3,14571,503583,0,0,883,false,72,48,0
