scenario,width,repeat,cache,readyMs,fcpMs,lcpObservedMs,longTasks,longTaskMs,tbtProxyMs,apiRequests,liveRequests,listRequests,listEncodedBytes,listDecodedBytes,jsTransferBytes,cssTransferBytes,domNodes,overflow,finalCards,finalRows,pendingRequests
long,320,2,cold,2527,1696,2232,1,145,95,14,1,9,43713,1510749,222906,14606,883,false,72,48,0
long,320,2,warm,1020,244,712,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,320,3,cold,2450,1704,2160,1,148,98,8,1,3,14571,503583,222906,14606,883,false,72,48,0
long,320,3,warm,1037,244,732,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,1280,1,cold,2402,1724,2132,1,146,96,8,1,3,14571,503583,222906,14606,883,false,72,48,0
long,1280,1,warm,984,248,696,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,1280,2,cold,2426,1704,2168,1,144,94,8,1,3,14571,503583,222906,14606,883,false,72,48,0
long,1280,2,warm,1005,252,692,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,1280,3,cold,2461,1716,2156,1,149,99,14,1,9,43713,1510749,222906,14606,883,false,72,48,0
long,1280,3,warm,1006,248,704,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
