scenario,width,repeat,cache,readyMs,fcpMs,lcpObservedMs,longTasks,longTaskMs,tbtProxyMs,apiRequests,liveRequests,listRequests,listEncodedBytes,listDecodedBytes,jsTransferBytes,jsEncodedBytes,jsRequests,cssTransferBytes,domNodes,overflow,finalCards,finalRows,pendingRequests
stress,390,4,warm,1386,240,804,4,330,130,8,1,3,53530,2097834,0,143807,5,0,3471,false,300,200,0
stress,390,5,cold,2561,1212,1920,5,414,164,8,1,3,53530,2097834,145307,143807,5,12759,3471,false,300,200,0
stress,390,5,warm,1455,292,812,4,273,73,8,1,3,53530,2097834,0,143807,5,0,3471,false,300,200,0
long,320,1,cold,2180,1208,1856,1,87,37,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,320,1,warm,1035,244,704,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,320,2,cold,2112,1220,1832,1,87,37,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,320,2,warm,1002,244,704,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,320,3,cold,2148,1208,1844,1,85,35,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,320,3,warm,1054,256,744,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,1280,1,cold,2103,1232,1836,2,146,46,8,1,3,14571,503583,145307,143807,5,12759,887,false,72,48,0
long,1280,1,warm,1055,260,744,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,1280,2,cold,2196,1224,1872,1,87,37,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,1280,2,warm,1037,244,728,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,1280,3,cold,2125,1228,1820,1,85,35,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,1280,3,warm,1004,244,708,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
